detector,attack,recall_clean,recall_attacked,recall_recovered,drop,recovered_frac,over_trigger
CANOPI,homoglyph,0.96,0.96,0.96,0.0,,False
CANOPI,zero_width,0.96,0.96,0.96,0.0,,False
CANOPI,leet,0.96,0.385,0.94,0.575,0.965,False
CANOPI,spacing,0.96,0.3725,0.98,0.5875,1.0,False
regex,homoglyph,0.1325,0.0175,0.1325,0.115,1.0,False
regex,zero_width,0.1325,0.0175,0.1325,0.115,1.0,False
regex,leet,0.1325,0.02,0.0425,0.1125,0.2,False
regex,spacing,0.1325,0.0225,0.05,0.11,0.25,False
tfidf_svm,homoglyph,0.99,0.6,0.99,0.39,1.0,False
tfidf_svm,zero_width,0.99,0.1625,0.99,0.8275,1.0,False
tfidf_svm,leet,0.99,0.4725,0.9825,0.5175,0.986,False
tfidf_svm,spacing,0.99,0.8975,0.9175,0.0925,0.216,False
protectai/deberta,homoglyph,0.9125,0.9975,0.9125,-0.085,,True
protectai/deberta,zero_width,0.9125,1.0,0.9125,-0.0875,,True
protectai/deberta,leet,0.9125,1.0,0.94,-0.0875,,True
protectai/deberta,spacing,0.9125,1.0,0.95,-0.0875,,True
InjecGuard,homoglyph,0.425,0.0025,0.425,0.4225,1.0,False
InjecGuard,zero_width,0.425,0.0,0.425,0.425,1.0,False
InjecGuard,leet,0.425,0.3875,0.37,0.0375,0.0,False
InjecGuard,spacing,0.425,0.0025,0.325,0.4225,0.763,False
