detector,attack,recall_clean,recall_attacked,recall_recovered,drop,recovered_frac,over_trigger
CANOPI,homoglyph,0.96,0.96,0.96,0.0,,False
CANOPI,zero_width,0.96,0.96,0.96,0.0,,False
CANOPI,leet,0.96,0.8525,0.9725,0.1075,1.0,False
CANOPI,spacing,0.96,0.4225,0.9625,0.5375,1.0,False
regex,homoglyph,0.1325,0.02,0.1325,0.1125,1.0,False
regex,zero_width,0.1325,0.01,0.1325,0.1225,1.0,False
regex,leet,0.1325,0.02,0.04,0.1125,0.178,False
regex,spacing,0.1325,0.0175,0.05,0.115,0.283,False
tfidf_svm,homoglyph,0.99,0.5775,0.99,0.4125,1.0,False
tfidf_svm,zero_width,0.99,0.13,0.99,0.86,1.0,False
tfidf_svm,leet,0.99,0.4775,0.985,0.5125,0.99,False
tfidf_svm,spacing,0.99,0.89,0.9225,0.1,0.325,False
protectai/deberta,homoglyph,0.9125,0.995,0.9125,-0.0825,,True
protectai/deberta,zero_width,0.9125,1.0,0.9125,-0.0875,,True
protectai/deberta,leet,0.9125,1.0,0.9425,-0.0875,,True
protectai/deberta,spacing,0.9125,1.0,0.95,-0.0875,,True
InjecGuard,homoglyph,0.425,0.0025,0.425,0.4225,1.0,False
InjecGuard,zero_width,0.425,0.0,0.425,0.425,1.0,False
InjecGuard,leet,0.425,0.38,0.3675,0.045,0.0,False
InjecGuard,spacing,0.425,0.0,0.3225,0.425,0.759,False
