detector,attack,sigma,attacked,recovered
CANOPI,homoglyph,0.25,0.96,0.96
CANOPI,homoglyph,0.5,0.96,0.96
CANOPI,homoglyph,0.75,0.96,0.96
CANOPI,homoglyph,1.0,0.96,0.96
CANOPI,zero_width,0.25,0.96,0.96
CANOPI,zero_width,0.5,0.96,0.96
CANOPI,zero_width,0.75,0.96,0.96
CANOPI,zero_width,1.0,0.96,0.96
CANOPI,leet,0.25,0.98,0.9775
CANOPI,leet,0.5,0.91,0.9725
CANOPI,leet,0.75,0.8525,0.9725
CANOPI,leet,1.0,0.785,0.97
CANOPI,spacing,0.25,0.82,0.9625
CANOPI,spacing,0.5,0.6725,0.965
CANOPI,spacing,0.75,0.4225,0.9625
CANOPI,spacing,1.0,0.1525,0.9775
regex,homoglyph,0.25,0.0325,0.1325
regex,homoglyph,0.5,0.02,0.1325
regex,homoglyph,0.75,0.02,0.1325
regex,homoglyph,1.0,0.0175,0.1325
regex,zero_width,0.25,0.0275,0.1325
regex,zero_width,0.5,0.0225,0.1325
regex,zero_width,0.75,0.01,0.1325
regex,zero_width,1.0,0.0,0.1325
regex,leet,0.25,0.0275,0.0825
regex,leet,0.5,0.02,0.0625
regex,leet,0.75,0.02,0.04
regex,leet,1.0,0.0175,0.03
regex,spacing,0.25,0.07,0.115
regex,spacing,0.5,0.04,0.0725
regex,spacing,0.75,0.0175,0.05
regex,spacing,1.0,0.0,0.02
tfidf_svm,homoglyph,0.25,0.955,0.99
tfidf_svm,homoglyph,0.5,0.8625,0.99
tfidf_svm,homoglyph,0.75,0.5775,0.99
tfidf_svm,homoglyph,1.0,0.185,0.99
tfidf_svm,zero_width,0.25,0.8175,0.99
tfidf_svm,zero_width,0.5,0.3625,0.99
tfidf_svm,zero_width,0.75,0.13,0.99
tfidf_svm,zero_width,1.0,0.0,0.99
tfidf_svm,leet,0.25,0.9525,0.99
tfidf_svm,leet,0.5,0.745,0.985
tfidf_svm,leet,0.75,0.4775,0.985
tfidf_svm,leet,1.0,0.17,0.98
tfidf_svm,spacing,0.25,0.985,0.99
tfidf_svm,spacing,0.5,0.9625,0.975
tfidf_svm,spacing,0.75,0.89,0.9225
tfidf_svm,spacing,1.0,0.3875,0.5375
protectai/deberta,homoglyph,0.25,0.975,0.9125
protectai/deberta,homoglyph,0.5,0.99,0.9125
protectai/deberta,homoglyph,0.75,0.995,0.9125
protectai/deberta,homoglyph,1.0,0.9975,0.9125
protectai/deberta,zero_width,0.25,1.0,0.9125
protectai/deberta,zero_width,0.5,1.0,0.9125
protectai/deberta,zero_width,0.75,1.0,0.9125
protectai/deberta,zero_width,1.0,1.0,0.9125
protectai/deberta,leet,0.25,0.9925,0.9325
protectai/deberta,leet,0.5,1.0,0.945
protectai/deberta,leet,0.75,1.0,0.9425
protectai/deberta,leet,1.0,1.0,0.95
protectai/deberta,spacing,0.25,0.9975,0.925
protectai/deberta,spacing,0.5,1.0,0.935
protectai/deberta,spacing,0.75,1.0,0.95
protectai/deberta,spacing,1.0,1.0,0.9625
InjecGuard,homoglyph,0.25,0.0625,0.425
InjecGuard,homoglyph,0.5,0.005,0.425
InjecGuard,homoglyph,0.75,0.0025,0.425
InjecGuard,homoglyph,1.0,0.0025,0.425
InjecGuard,zero_width,0.25,0.0,0.425
InjecGuard,zero_width,0.5,0.0,0.425
InjecGuard,zero_width,0.75,0.0,0.425
InjecGuard,zero_width,1.0,0.0,0.425
InjecGuard,leet,0.25,0.095,0.36
InjecGuard,leet,0.5,0.0625,0.3425
InjecGuard,leet,0.75,0.38,0.3675
InjecGuard,leet,1.0,0.7875,0.395
InjecGuard,spacing,0.25,0.1825,0.4025
InjecGuard,spacing,0.5,0.0325,0.3775
InjecGuard,spacing,0.75,0.0,0.3225
InjecGuard,spacing,1.0,0.0,0.28
