detector,attack,recall_clean,recall_attacked,recall_recovered,drop,recovered_frac,over_trigger
CANOPI,homoglyph,0.9625,0.9625,0.965,0.0,,False
CANOPI,zero_width,0.9625,0.9625,0.965,0.0,,False
CANOPI,leet,0.9625,0.7025,0.97,0.26,1.0,False
CANOPI,spacing,0.9625,0.565,0.9725,0.3975,1.0,False
regex,homoglyph,0.1325,0.02,0.1325,0.1125,1.0,False
regex,zero_width,0.1325,0.0175,0.1325,0.115,1.0,False
regex,leet,0.1325,0.02,0.0375,0.1125,0.156,False
regex,spacing,0.1325,0.0225,0.0475,0.11,0.227,False
tfidf_svm,homoglyph,0.99,0.6175,0.99,0.3725,1.0,False
tfidf_svm,zero_width,0.99,0.145,0.99,0.845,1.0,False
tfidf_svm,leet,0.99,0.475,0.9825,0.515,0.985,False
tfidf_svm,spacing,0.99,0.8925,0.93,0.0975,0.385,False
protectai/deberta,homoglyph,0.9125,0.9975,0.9125,-0.085,,True
protectai/deberta,zero_width,0.9125,1.0,0.9125,-0.0875,,True
protectai/deberta,leet,0.9125,1.0,0.9425,-0.0875,,True
protectai/deberta,spacing,0.9125,1.0,0.9575,-0.0875,,True
InjecGuard,homoglyph,0.425,0.0025,0.425,0.4225,1.0,False
InjecGuard,zero_width,0.425,0.0,0.425,0.425,1.0,False
InjecGuard,leet,0.425,0.41,0.355,0.015,,False
InjecGuard,spacing,0.425,0.01,0.34,0.415,0.795,False
