model,lang,tau_mean,tau_std,n_pos_mean,n_pos_std,recall_at_1pctfpr_mean,recall_at_1pctfpr_std,recall_at_1pctfpr_lo_mean,recall_at_1pctfpr_lo_std,recall_at_1pctfpr_hi_mean,recall_at_1pctfpr_hi_std
B5_embedding,zh_mt,0.4539552782768673,0.0,200.0,0.0,0.01,0.0,0.0,0.0,0.025,0.0
CANOPI,ar,0.495842730998993,0.05838536401059361,150.0,0.0,0.07199999999999998,0.03571492062927697,0.03599999999999996,0.025647178748895126,0.11466666666666665,0.04580150409951378
CANOPI,ar_mt,0.495842730998993,0.05838536401059361,200.0,0.0,0.032999999999999995,0.024647515087732472,0.012,0.016431676725154984,0.05900000000000001,0.03286335345030997
CANOPI,ar_roman_nat,0.495842730998993,0.05838536401059361,15.0,0.0,0.15999999999999995,0.10110500592068734,0.026666666666666637,0.03651483716701104,0.33333333333333337,0.13333333333333333
CANOPI,de_mt,0.495842730998993,0.05838536401059361,200.0,0.0,0.29900000000000004,0.09600781218213443,0.238,0.09311283477587823,0.365,0.09817076958035931
CANOPI,es,0.495842730998993,0.05838536401059361,20.0,0.0,0.22999999999999998,0.12549900398011132,0.06999999999999999,0.1036822067666386,0.43,0.15652475842498528
CANOPI,es_mt,0.495842730998993,0.05838536401059361,200.0,0.0,0.587,0.04932038118263077,0.522,0.05118593556827891,0.657,0.04932038118263082
CANOPI,fr_mt,0.495842730998993,0.05838536401059361,200.0,0.0,0.52,0.11731368206650067,0.45395,0.1183105223025408,0.58705,0.11425330274219643
CANOPI,hi_mt,0.495842730998993,0.05838536401059361,200.0,0.0,0.016,0.012942179105544786,0.004,0.006519202405202648,0.033,0.02361143790623519
CANOPI,pt_mt,0.495842730998993,0.05838536401059361,200.0,0.0,0.5479999999999999,0.071815736437079,0.48195,0.07140075060879965,0.6190249999999999,0.07069788274764664
CANOPI,ru_mt,0.495842730998993,0.05838536401059361,200.0,0.0,0.015,0.006123724356957945,0.002,0.0027386127875258306,0.033,0.010368220676663863
CANOPI,zh_mt,0.495842730998993,0.05838536401059361,200.0,0.0,0.151,0.02484954727957835,0.10300000000000001,0.021965882636488798,0.197,0.025396850198400586
