detector,attack,sigma,attacked,recovered
CANOPI,homoglyph,0.25,0.9575,0.9575
CANOPI,homoglyph,0.5,0.9575,0.9575
CANOPI,homoglyph,0.75,0.9575,0.9575
CANOPI,homoglyph,1.0,0.9575,0.9575
CANOPI,zero_width,0.25,0.9575,0.9575
CANOPI,zero_width,0.5,0.9575,0.9575
CANOPI,zero_width,0.75,0.9575,0.9575
CANOPI,zero_width,1.0,0.9575,0.9575
CANOPI,leet,0.25,0.925,0.96
CANOPI,leet,0.5,0.8225,0.965
CANOPI,leet,0.75,0.7,0.965
CANOPI,leet,1.0,0.4825,0.96
CANOPI,spacing,0.25,0.8925,0.9625
CANOPI,spacing,0.5,0.7775,0.97
CANOPI,spacing,0.75,0.655,0.985
CANOPI,spacing,1.0,0.6425,0.995
regex,homoglyph,0.25,0.03,0.1325
regex,homoglyph,0.5,0.025,0.1325
regex,homoglyph,0.75,0.02,0.1325
regex,homoglyph,1.0,0.0175,0.1325
regex,zero_width,0.25,0.0325,0.1325
regex,zero_width,0.5,0.03,0.1325
regex,zero_width,0.75,0.0125,0.1325
regex,zero_width,1.0,0.0,0.1325
regex,leet,0.25,0.0425,0.0825
regex,leet,0.5,0.0225,0.0525
regex,leet,0.75,0.02,0.045
regex,leet,1.0,0.0175,0.03
regex,spacing,0.25,0.065,0.115
regex,spacing,0.5,0.0375,0.08
regex,spacing,0.75,0.02,0.0425
regex,spacing,1.0,0.0,0.02
tfidf_svm,homoglyph,0.25,0.9675,0.99
tfidf_svm,homoglyph,0.5,0.835,0.99
tfidf_svm,homoglyph,0.75,0.6125,0.99
tfidf_svm,homoglyph,1.0,0.185,0.99
tfidf_svm,zero_width,0.25,0.83,0.99
tfidf_svm,zero_width,0.5,0.3475,0.99
tfidf_svm,zero_width,0.75,0.13,0.99
tfidf_svm,zero_width,1.0,0.0,0.99
tfidf_svm,leet,0.25,0.935,0.985
tfidf_svm,leet,0.5,0.75,0.9825
tfidf_svm,leet,0.75,0.465,0.985
tfidf_svm,leet,1.0,0.17,0.98
tfidf_svm,spacing,0.25,0.9875,0.99
tfidf_svm,spacing,0.5,0.975,0.98
tfidf_svm,spacing,0.75,0.89,0.93
tfidf_svm,spacing,1.0,0.3875,0.5375
protectai/deberta,homoglyph,0.25,0.9775,0.9125
protectai/deberta,homoglyph,0.5,0.99,0.9125
protectai/deberta,homoglyph,0.75,0.995,0.9125
protectai/deberta,homoglyph,1.0,0.9975,0.9125
protectai/deberta,zero_width,0.25,1.0,0.9125
protectai/deberta,zero_width,0.5,1.0,0.9125
protectai/deberta,zero_width,0.75,1.0,0.9125
protectai/deberta,zero_width,1.0,1.0,0.9125
protectai/deberta,leet,0.25,0.99,0.935
protectai/deberta,leet,0.5,0.9975,0.95
protectai/deberta,leet,0.75,1.0,0.9475
protectai/deberta,leet,1.0,1.0,0.95
protectai/deberta,spacing,0.25,0.9925,0.9275
protectai/deberta,spacing,0.5,0.9975,0.9375
protectai/deberta,spacing,0.75,1.0,0.9475
protectai/deberta,spacing,1.0,1.0,0.9625
InjecGuard,homoglyph,0.25,0.0575,0.425
InjecGuard,homoglyph,0.5,0.0025,0.425
InjecGuard,homoglyph,0.75,0.0025,0.425
InjecGuard,homoglyph,1.0,0.0025,0.425
InjecGuard,zero_width,0.25,0.0,0.425
InjecGuard,zero_width,0.5,0.0,0.425
InjecGuard,zero_width,0.75,0.0,0.425
InjecGuard,zero_width,1.0,0.0,0.425
InjecGuard,leet,0.25,0.0675,0.3625
InjecGuard,leet,0.5,0.065,0.335
InjecGuard,leet,0.75,0.4,0.355
InjecGuard,leet,1.0,0.7875,0.395
InjecGuard,spacing,0.25,0.17,0.405
InjecGuard,spacing,0.5,0.0425,0.365
InjecGuard,spacing,0.75,0.005,0.3175
InjecGuard,spacing,1.0,0.0,0.28
