detector,attack,sigma,attacked,recovered
CANOPI,homoglyph,0.25,0.9675,0.9675
CANOPI,homoglyph,0.5,0.9675,0.9675
CANOPI,homoglyph,0.75,0.9675,0.9675
CANOPI,homoglyph,1.0,0.9675,0.9675
CANOPI,zero_width,0.25,0.9675,0.9675
CANOPI,zero_width,0.5,0.9675,0.9675
CANOPI,zero_width,0.75,0.9675,0.9675
CANOPI,zero_width,1.0,0.9675,0.9675
CANOPI,leet,0.25,0.9525,0.965
CANOPI,leet,0.5,0.87,0.955
CANOPI,leet,0.75,0.7725,0.9525
CANOPI,leet,1.0,0.57,0.955
CANOPI,spacing,0.25,0.9,0.965
CANOPI,spacing,0.5,0.765,0.965
CANOPI,spacing,0.75,0.545,0.9775
CANOPI,spacing,1.0,0.275,0.995
regex,homoglyph,0.25,0.03,0.1325
regex,homoglyph,0.5,0.02,0.1325
regex,homoglyph,0.75,0.0175,0.1325
regex,homoglyph,1.0,0.0175,0.1325
regex,zero_width,0.25,0.02,0.1325
regex,zero_width,0.5,0.0175,0.1325
regex,zero_width,0.75,0.01,0.1325
regex,zero_width,1.0,0.0,0.1325
regex,leet,0.25,0.035,0.0825
regex,leet,0.5,0.02,0.06
regex,leet,0.75,0.02,0.0575
regex,leet,1.0,0.0175,0.03
regex,spacing,0.25,0.0625,0.115
regex,spacing,0.5,0.035,0.085
regex,spacing,0.75,0.0225,0.0425
regex,spacing,1.0,0.0,0.02
tfidf_svm,homoglyph,0.25,0.9575,0.99
tfidf_svm,homoglyph,0.5,0.8525,0.99
tfidf_svm,homoglyph,0.75,0.655,0.99
tfidf_svm,homoglyph,1.0,0.185,0.99
tfidf_svm,zero_width,0.25,0.8125,0.99
tfidf_svm,zero_width,0.5,0.3775,0.99
tfidf_svm,zero_width,0.75,0.1375,0.99
tfidf_svm,zero_width,1.0,0.0,0.99
tfidf_svm,leet,0.25,0.955,0.9875
tfidf_svm,leet,0.5,0.78,0.985
tfidf_svm,leet,0.75,0.475,0.9825
tfidf_svm,leet,1.0,0.17,0.98
tfidf_svm,spacing,0.25,0.9875,0.9875
tfidf_svm,spacing,0.5,0.9825,0.98
tfidf_svm,spacing,0.75,0.9,0.925
tfidf_svm,spacing,1.0,0.3875,0.5375
protectai/deberta,homoglyph,0.25,0.9725,0.9125
protectai/deberta,homoglyph,0.5,0.9875,0.9125
protectai/deberta,homoglyph,0.75,0.995,0.9125
protectai/deberta,homoglyph,1.0,0.9975,0.9125
protectai/deberta,zero_width,0.25,0.9975,0.9125
protectai/deberta,zero_width,0.5,1.0,0.9125
protectai/deberta,zero_width,0.75,1.0,0.9125
protectai/deberta,zero_width,1.0,1.0,0.9125
protectai/deberta,leet,0.25,0.99,0.935
protectai/deberta,leet,0.5,1.0,0.9475
protectai/deberta,leet,0.75,1.0,0.945
protectai/deberta,leet,1.0,1.0,0.95
protectai/deberta,spacing,0.25,0.9925,0.925
protectai/deberta,spacing,0.5,1.0,0.9375
protectai/deberta,spacing,0.75,1.0,0.95
protectai/deberta,spacing,1.0,1.0,0.9625
InjecGuard,homoglyph,0.25,0.0625,0.425
InjecGuard,homoglyph,0.5,0.0025,0.425
InjecGuard,homoglyph,0.75,0.0025,0.425
InjecGuard,homoglyph,1.0,0.0025,0.425
InjecGuard,zero_width,0.25,0.0,0.425
InjecGuard,zero_width,0.5,0.0,0.425
InjecGuard,zero_width,0.75,0.0,0.425
InjecGuard,zero_width,1.0,0.0,0.425
InjecGuard,leet,0.25,0.085,0.365
InjecGuard,leet,0.5,0.0525,0.325
InjecGuard,leet,0.75,0.365,0.3575
InjecGuard,leet,1.0,0.7875,0.395
InjecGuard,spacing,0.25,0.175,0.4025
InjecGuard,spacing,0.5,0.0425,0.3825
InjecGuard,spacing,0.75,0.0075,0.345
InjecGuard,spacing,1.0,0.0,0.28
