detector,attack,recall_clean,recall_attacked,recall_recovered,drop,recovered_frac,over_trigger
CANOPI,homoglyph,0.9675,0.9675,0.9675,0.0,,False
CANOPI,zero_width,0.9675,0.9675,0.9675,0.0,,False
CANOPI,leet,0.9675,0.7725,0.9525,0.195,0.923,False
CANOPI,spacing,0.9675,0.545,0.9775,0.4225,1.0,False
regex,homoglyph,0.1325,0.0175,0.1325,0.115,1.0,False
regex,zero_width,0.1325,0.01,0.1325,0.1225,1.0,False
regex,leet,0.1325,0.02,0.0575,0.1125,0.333,False
regex,spacing,0.1325,0.0225,0.0425,0.11,0.182,False
tfidf_svm,homoglyph,0.99,0.655,0.99,0.335,1.0,False
tfidf_svm,zero_width,0.99,0.1375,0.99,0.8525,1.0,False
tfidf_svm,leet,0.99,0.475,0.9825,0.515,0.985,False
tfidf_svm,spacing,0.99,0.9,0.925,0.09,0.278,False
protectai/deberta,homoglyph,0.9125,0.995,0.9125,-0.0825,,True
protectai/deberta,zero_width,0.9125,1.0,0.9125,-0.0875,,True
protectai/deberta,leet,0.9125,1.0,0.945,-0.0875,,True
protectai/deberta,spacing,0.9125,1.0,0.95,-0.0875,,True
InjecGuard,homoglyph,0.425,0.0025,0.425,0.4225,1.0,False
InjecGuard,zero_width,0.425,0.0,0.425,0.425,1.0,False
InjecGuard,leet,0.425,0.365,0.3575,0.06,0.0,False
InjecGuard,spacing,0.425,0.0075,0.345,0.4175,0.808,False
